the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E6100000F8C610001C8952C0C1525DC0CB464440,3519556,4721348,AMBOY ROAD,,2024-04-29 08:45:00+00,40.553093,-74.142334,Staten Island,10308.0,1,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Sedan
0101000020E61000000742B280098D52C0E42D573F36474440,3519547,4721088,HUGUENOT AVENUE,,2024-04-30 17:00:00+00,40.556343,-74.203705,Staten Island,,1,0,0,2,0,0,0,2,0,"Unspecified,Unspecified","Sedan,Sedan"
0101000020E6100000912749D74C8652C061FD9FC37C4B4440,3519477,4721034,SEAVIEW AVENUE,,2024-04-30 16:40:00+00,40.589745,-74.09844,Staten Island,10304.0,1,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E6100000F5A276BF0A8852C06F8104C58F514440,3519545,4721115,RICHMOND TERRACE,,2024-04-30 11:03:00+00,40.6372,-74.125656,Staten Island,10310.0,1,0,0,1,0,0,0,1,0,"Passing or Lane Usage Improper,Driver Inattention/Distraction","Sedan,Sedan"
0101000020E6100000D8D825AAB78652C08196AE601B4F4440,3519970,4721782,CLOVE ROAD,,2024-05-02 18:12:00+00,40.618023,-74.10496,Staten Island,10301.0,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Sedan"
0101000020E610000015A8C5E0618A52C07A8D5DA27A4D4440,3519917,4721393,RICHMOND AVENUE,,2024-05-02 08:35:00+00,40.605305,-74.162224,Staten Island,,1,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Bike"
0101000020E61000008D62B9A5D58852C03123BC3D08494440,3519645,4721966,KENSICO STREET,,2024-05-03 15:20:00+00,40.570564,-74.13804,Staten Island,,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E6100000984C158C4A8852C0B728B341264D4440,3519752,4721863,GRAVES STREET,,2024-05-03 14:45:00+00,40.60273,-74.12955,Staten Island,,1,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E6100000132C0E677E8D52C0AA9B8BBFED454440,3520076,4721748,CORRELL AVENUE,,2024-05-01 15:00:00+00,40.546318,-74.21084,Staten Island,10309.0,1,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Sedan"
0101000020E6100000F7CC9200358C52C04E97C5C4E6434440,3520156,4721340,HUGUENOT AVENUE,,2024-05-01 08:05:00+00,40.53048,-74.190735,Staten Island,10312.0,1,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
0101000020E610000076A6D0798D8B52C0C68B852172464440,3520028,4721749,GRANTWOOD AVENUE,,2024-05-01 13:41:00+00,40.550358,-74.18051,Staten Island,,1,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","4 dr sedan,Sedan"
0101000020E6100000F9DA334B028852C02AA913D044504440,3519811,4721574,FOREST AVENUE,,2024-05-02 12:30:00+00,40.6271,-74.12514,Staten Island,10310.0,1,0,0,2,0,0,0,2,0,"Unspecified,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E61000000B24287E8C8652C0506D7022FA494440,3519734,4721961,HYLAN BOULEVARD,,2024-05-03 19:34:00+00,40.577946,-74.102325,Staten Island,10306.0,1,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Convertible,Station Wagon/Sport Utility Vehicle"
