the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E61000008121AB5B3D6F52C0D36A48DC635B4440,3442866,4661873,218 STREET,,2023-09-12 08:30:00+00,40.713985,-73.73812,Queens,11429,1,0,0,1,0,0,0,1,0,"Unsafe Lane Changing,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E6100000D66EBBD05C7752C0E63FA4DFBE604440,3443160,4662577,,103-20    34 AVENUE,2023-09-14 19:30:00+00,40.755825,-73.86504,Queens,11368,1,0,0,1,0,0,0,1,0,"Alcohol Involvement,Other Vehicular","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E61000008577B988EF7252C06A12BC218D644440,3442014,4661380,CROSS ISLAND PARKWAY,,2023-09-10 19:21:00+00,40.785557,-73.79587,Queens,11357,1,0,0,1,0,0,0,1,0,"Other Vehicular,Unspecified","Sedan,Sedan"
0101000020E61000006397A8DE1A7452C073BED87BF1614440,3443667,4662481,150 PLACE,,2023-09-01 14:52:00+00,40.765182,-73.81414,Queens,,1,0,0,0,0,1,0,1,0,Unspecified,Sedan
0101000020E6100000BFB7E9CF7E7652C04C1938A0A55D4440,3443190,4662702,64 ROAD,,2023-09-14 18:41:00+00,40.731617,-73.85149,Queens,11375,1,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,
0101000020E6100000A06B5F402F7852C0D673D2FBC65F4440,3443337,4662299,,88-12     ROOSEVELT AVENUE,2023-09-13 15:15:00+00,40.74826,-73.877884,Queens,11372,1,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
0101000020E6100000BFF1B567967652C0F37684D3825F4440,3443022,4662653,111 STREET,,2023-09-15 23:15:00+00,40.74618,-73.85293,Queens,11368,1,1,0,0,0,0,0,1,0,"Unspecified,Unspecified","Sedan,Bike"
0101000020E6100000A9DE1AD82A7B52C061C43E0114634440,3443028,4662816,21 STREET,,2023-09-15 18:09:00+00,40.774048,-73.92449,Queens,11102,1,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Sedan,Motorcycle"
0101000020E61000002B4D4A41B77052C06B2BF697DD574440,3443644,4662563,120 AVENUE,,2023-09-05 13:40:00+00,40.68645,-73.761185,Queens,11412,1,0,0,2,0,0,0,2,0,"Other Vehicular,Unspecified","Sedan,Sedan"
0101000020E61000001D03B2D7BB7352C07BDAE1AFC95E4440,3443002,4663069,59 AVENUE,,2023-09-15 18:00:00+00,40.74053,-73.80834,Queens,11365,1,1,0,0,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Station Wagon/Sport Utility Vehicle,Bike"
0101000020E610000009FEB7921D7752C081CCCEA2775E4440,3443484,4662300,,98-30     57 AVENUE,2023-09-13 14:00:00+00,40.738026,-73.86118,Queens,11368,1,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,E-Bike
0101000020E610000014799274CD7652C0F511F8C3CF554440,3443264,4662401,LINDEN BOULEVARD,,2023-09-14 16:40:00+00,40.670403,-73.85629,Queens,11414,1,0,0,0,0,1,0,1,0,,
0101000020E6100000CD91955F067752C01A69A9BC1D5B4440,3443511,4662324,WOODHAVEN BOULEVARD,,2023-09-13 05:40:00+00,40.711845,-73.859764,Queens,,1,0,0,1,0,0,0,1,0,Unspecified,Sedan
0101000020E6100000A857CA32C47B52C066666666665E4440,3443262,4662877,LONG ISLAND EXPRESSWAY,,2023-09-14 13:50:00+00,40.7375,-73.93385,Queens,,1,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E6100000FCFB8C0B077C52C0E527D53E1D614440,3442988,4662814,21 STREET,,2023-09-15 17:24:00+00,40.758705,-73.93793,Queens,11106,1,0,0,1,0,0,0,1,0,"Passing or Lane Usage Improper,Unspecified","Sedan,Motorcycle"
0101000020E6100000734BAB21717852C0060FD3BEB95F4440,3443339,4661989,,84-07     ROOSEVELT AVENUE,2023-09-13 03:05:00+00,40.747856,-73.881905,Queens,11372,1,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Bike"
0101000020E6100000A01518B2BA7952C0D3A414747B614440,3443273,4663086,BROOKLYN QUEENS EXPRESSWAY,,2023-09-14 19:00:00+00,40.76158,-73.90202,Queens,,1,0,0,3,0,0,0,3,0,"Unsafe Lane Changing,Unsafe Lane Changing,Other Vehicular","Sedan,Van,Pick-up Truck"
0101000020E610000033DC80CF0F7952C0B2D7BB3FDE5F4440,3443430,4662409,,74-04     37 AVENUE,2023-09-13 15:10:00+00,40.74897,-73.89159,Queens,11372,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Passing or Lane Usage Improper","Sedan,Box Truck"
0101000020E610000092E7FA3E1C7852C05FEB5223F45F4440,3443405,4662410,,37-38     90 STREET,2023-09-13 09:10:00+00,40.749638,-73.876724,Queens,11372,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle,Moped"
0101000020E61000008CBE8234637B52C037C2A2224E5D4440,3443126,4662287,BROOKLYN QUEENS EXPRESSWAY,,2023-09-14 09:00:00+00,40.728947,-73.92793,Queens,,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Flat Bed"
0101000020E6100000E7357689EA7B52C0AEBB79AA43624440,3443530,4662802,VERNON BOULEVARD,,2023-09-12 15:50:00+00,40.76769,-73.93619,Queens,,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Moped"
0101000020E61000003E95D39E927B52C08A1F63EE5A5E4440,3443330,4662214,BORDEN AVENUE,,2023-09-13 08:45:00+00,40.73715,-73.930824,Queens,,1,0,0,4,0,0,0,4,0,"Driver Inattention/Distraction,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan,Sedan"
