the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E6100000DE02098A1F7F52C078EE3D5C725C4440,3476301,4688633,AVENUE A,,2023-12-19 10:55:00+00,40.72224,-73.9863,Manhattan,10002.0,1,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Bus,Concrete Mixer"
0101000020E6100000033FAA61BF7D52C00B42791F47614440,3477057,4689350,2 AVENUE,,2023-11-16 09:53:00+00,40.759983,-73.964806,Manhattan,10022.0,1,0,0,0,0,1,0,1,0,,
0101000020E6100000A9D903ADC07C52C05B7C0A80F1624440,3476940,4689360,,1540      YORK AVENUE,2023-12-18 16:11:00+00,40.772995,-73.94926,Manhattan,10028.0,1,1,0,0,0,0,0,1,0,Unspecified,Bike
0101000020E6100000581CCEFC6A7C52C0179F02603C6B4440,3476908,4688856,WEST 162 STREET,,2023-12-19 22:16:00+00,40.83778,-73.94403,Manhattan,10032.0,1,1,0,1,0,0,0,2,0,"Unsafe Speed,Unspecified","Sedan,Bike"
0101000020E6100000B5A679C7297E52C04AD40B3ECD654440,3476973,4689765,WEST 97 STREET,,2023-12-17 16:49:00+00,40.795326,-73.9713,Manhattan,10025.0,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Taxi"
0101000020E6100000DF32A7CB627C52C00E15E3FC4D644440,3476829,4688884,EAST 97 STREET,,2023-12-20 18:53:00+00,40.78363,-73.94353,Manhattan,10029.0,1,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Sedan
0101000020E610000062D68BA19C7D52C05BD07B6308644440,3476777,4689488,,26        TRANSVERSE ROAD NUMBER THREE,2023-12-20 07:40:00+00,40.781506,-73.962685,Manhattan,10000.0,1,1,0,0,0,0,0,1,0,Pavement Slippery,Bike
0101000020E6100000637FD93D797E52C07BBDFBE3BD5E4440,3476926,4688474,EAST 28 STREET,,2023-12-19 08:55:00+00,40.74017,-73.97615,Manhattan,,1,0,0,0,0,1,0,1,0,Unspecified,Sedan
0101000020E610000041B79734467D52C06DFFCA4A93624440,3477019,4689286,2 AVENUE,,2023-12-13 14:20:00+00,40.77012,-73.95741,Manhattan,10021.0,1,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Taxi
0101000020E6100000514F1F813F7C52C06649809A5A6A4440,3476891,4689047,WEST 155 STREET,,2023-12-19 17:10:00+00,40.83089,-73.941376,Manhattan,10032.0,1,1,0,0,0,0,0,1,0,"Unsafe Lane Changing,Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle,E-Bike"
0101000020E610000031EBC5504E7E52C0774A07EBFF604440,3476713,4689006,EAST 51 STREET,,2023-12-20 13:50:00+00,40.75781,-73.97353,Manhattan,10022.0,1,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
0101000020E6100000B9533A58FF7F52C03CF88903E85B4440,3476743,4689125,CANAL STREET,,2023-12-20 14:12:00+00,40.718018,-73.99996,Manhattan,10013.0,1,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified","Sedan,Sedan"
0101000020E6100000B1A71DFE9A7F52C0F86C1D1CEC5B4440,3476938,4688697,CHRYSTIE STREET,,2023-12-19 09:04:00+00,40.718143,-73.993835,Manhattan,10002.0,1,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E6100000033FAA61BF7D52C00B42791F47614440,3477031,4689519,2 AVENUE,,2023-12-10 00:11:00+00,40.759983,-73.964806,Manhattan,10022.0,1,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Bike,Station Wagon/Sport Utility Vehicle"
0101000020E6100000A374E95F927C52C0B8CB7EDDE9664440,3477541,4689866,,5         WEST 120 STREET,2023-12-20 07:30:00+00,40.804012,-73.946434,Manhattan,10027.0,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E61000008126C286A77F52C03B53E8BCC65E4440,3477214,4690108,WEST 19 STREET,,2023-12-22 01:14:00+00,40.74044,-73.9946,Manhattan,10011.0,1,1,0,0,0,0,0,1,0,"Traffic Control Disregarded,Unspecified","Taxi,Bike"
0101000020E61000006D3997E2AA7C52C01590F63FC0644440,3477102,4689591,3 AVENUE,,2023-12-23 20:50:00+00,40.787117,-73.94793,Manhattan,,1,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,
0101000020E610000084D382177D7F52C080B74082E25F4440,3477387,4690085,WEST 31 STREET,,2023-12-21 15:00:00+00,40.7491,-73.99201,Manhattan,10001.0,1,0,0,1,0,0,0,1,0,Unsafe Lane Changing,Taxi
0101000020E6100000BFD4CF9B8A7E52C029E78BBD17614440,3477249,4689265,5 AVENUE,,2023-12-22 03:35:00+00,40.758537,-73.97721,Manhattan,,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E6100000938C9C853D7F52C04E2B85402E5D4440,3477552,4689815,EAST 7 STREET,,2023-12-20 17:37:00+00,40.727974,-73.98813,Manhattan,10003.0,1,0,0,2,0,0,0,2,0,"Passing or Lane Usage Improper,Driver Inattention/Distraction","Taxi,Taxi"
0101000020E610000070CE88D2DE7E52C0B398D87C5C5F4440,3477220,4690087,,102       EAST 31 STREET,2023-12-22 12:26:00+00,40.74501,-73.98235,Manhattan,10016.0,1,1,0,0,0,0,0,1,0,"Passing Too Closely,Unspecified","Sedan,Bike"
0101000020E61000008CDB68006F7F52C0C1560916875F4440,3477136,4690106,,111       WEST 28 STREET,2023-12-23 16:30:00+00,40.74631,-73.99115,Manhattan,10001.0,1,1,0,0,0,0,0,1,0,"View Obstructed/Limited,Unsafe Speed","Station Wagon/Sport Utility Vehicle,Bike"
0101000020E6100000056EDDCD537F52C0952C27A1F45F4440,3477489,4690088,,141       WEST 33 STREET,2023-12-21 15:15:00+00,40.749653,-73.98949,Manhattan,10001.0,1,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Bike,Taxi"
0101000020E6100000179AEB34D27E52C05A46EA3D955F4440,3477389,4690084,,3         PARK AVENUE,2023-12-21 16:50:00+00,40.746742,-73.98158,Manhattan,10016.0,1,0,0,0,0,1,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
0101000020E61000009AEB34D2527F52C042EC4CA1F35C4440,3477231,4689832,EAST 4 STREET,,2023-12-22 16:54:00+00,40.726185,-73.98943,Manhattan,10003.0,1,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inexperience","Taxi,Bike"
0101000020E6100000D80DDB16657E52C08733BF9A035C4440,3477118,4689729,EAST HOUSTON STREET,,2023-12-23 17:20:00+00,40.71886,-73.97492,Manhattan,,1,0,0,1,0,0,0,1,0,"Backing Unsafely,Unspecified","Sedan,Sedan"
0101000020E6100000EF552B137E7F52C021C9ACDEE15C4440,3477285,4689816,BOWERY,,2023-12-22 17:55:00+00,40.725643,-73.99207,Manhattan,10012.0,1,2,0,0,0,0,0,2,0,"Failure to Yield Right-of-Way,Unspecified","Station Wagon/Sport Utility Vehicle,E-Bike"
0101000020E6100000670A9DD7D87D52C05FEB5223F4674440,3477580,4689842,HENRY HUDSON PARKWAY,,2023-12-18 14:45:00+00,40.812138,-73.96636,Manhattan,,1,0,0,1,0,0,0,1,0,Obstruction/Debris,Sedan
0101000020E6100000D46531B1F97E52C0EACF7EA488644440,3477166,4689526,HENRY HUDSON PARKWAY,,2023-12-23 03:39:00+00,40.78542,-73.98399,Manhattan,,1,0,0,1,0,0,0,1,0,"Unsafe Speed,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
