the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E6100000910F7A36AB7652C002D369DD066B4440,3492943,4699925,STARLING AVENUE,,2024-02-03 17:45:00+00,40.836147,-73.8542,Bronx,10462.0,1,0,0,0,0,0,0,0,0,"Turning Improperly,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E610000099D36531B17552C021CCED5EEE6B4440,3493021,4700214,WATERS PLACE,,2024-02-03 14:35:00+00,40.843212,-73.83894,Bronx,10461.0,1,0,0,0,0,0,0,0,0,"Other Vehicular,Other Vehicular","Sedan,Flat Rack"
0101000020E61000005166834C327852C0CB2E185C73694440,3493207,4700547,BRUCKNER BOULEVARD,,2024-01-30 00:00:00+00,40.823833,-73.87807,Bronx,,1,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
0101000020E61000007E00529B387552C0136058FE7C6D4440,3493151,4700240,HUTCHINSON RIVER PARKWAY EAST,,2024-02-02 13:00:00+00,40.855377,-73.83158,Bronx,10461.0,1,0,0,0,0,0,0,0,0,"Unsafe Speed,Unspecified",Station Wagon/Sport Utility Vehicle
0101000020E61000007D96E7C1DD7652C0C7F484251E684440,3492971,4699900,BOLTON AVENUE,,2024-02-03 08:15:00+00,40.81342,-73.857285,Bronx,10473.0,1,0,0,0,0,0,0,0,0,"Traffic Control Disregarded,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E61000001DE736E15E7952C023111AC1C6734440,3492729,4700432,MOSHOLU AVENUE,,2024-02-04 11:30:00+00,40.904503,-73.896416,Bronx,10471.0,1,0,0,0,0,0,0,0,0,Unspecified,Sedan
0101000020E6100000BF0D315EF37452C0A88FC01F7E6A4440,3492783,4700181,,3463      EAST TREMONT AVENUE,2024-02-04 10:45:00+00,40.831974,-73.827354,Bronx,10465.0,1,0,0,0,0,0,0,0,0,"Unspecified,Unspecified","Bus,Sedan"
0101000020E61000009ED2C1FA3F7552C0C26A2C616D6C4440,3493030,4700241,,3004      BUHRE AVENUE,2024-02-03 09:12:00+00,40.847088,-73.83203,Bronx,10461.0,1,0,0,0,0,0,0,0,0,"Unspecified,Unspecified","Ambulance,Station Wagon/Sport Utility Vehicle"
0101000020E61000008A93FB1D8A7A52C0855FEAE74D6D4440,3492960,4700414,WEST BURNSIDE AVENUE,,2024-02-03 23:00:00+00,40.85394,-73.91468,Bronx,10453.0,1,0,0,0,0,0,0,0,0,"Unspecified,Unspecified","Sedan,Sedan"
0101000020E61000007077D66EBB7A52C00B24287E8C6B4440,3492836,4699876,JEROME AVENUE,,2024-02-04 00:58:00+00,40.840225,-73.91769,Bronx,10452.0,1,0,0,0,0,0,0,0,0,"Following Too Closely,Unspecified","Sedan,Sedan"
0101000020E6100000B476DB85E67A52C074EFE192E3664440,3493018,4700558,,143       BRUCKNER BOULEVARD,2024-02-03 19:15:00+00,40.80382,-73.92032,Bronx,10454.0,1,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
0101000020E610000029266F80997B52C08D7BF31B26684440,3493184,4700550,EAST 138 STREET,,2024-02-02 18:15:00+00,40.813663,-73.931244,Bronx,,1,0,0,0,0,0,0,0,0,"Unspecified,Unspecified","Taxi,Station Wagon/Sport Utility Vehicle"
0101000020E6100000B18A37328F7A52C0D578E926316C4440,3492734,4700437,CROSS BRONX EXPY,,2024-02-04 17:15:00+00,40.84525,-73.91499,Bronx,,1,0,0,0,0,0,0,0,0,"Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
0101000020E6100000068195438B7A52C0325A4755136C4440,3492759,4700278,JEROME AVENUE,,2024-02-04 18:35:00+00,40.84434,-73.91475,Bronx,10452.0,1,0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way,Unspecified",Station Wagon/Sport Utility Vehicle
0101000020E6100000C58F31772D7B52C02A029CDEC5674440,3493061,4700730,EAST 139 STREET,,2024-02-02 23:00:00+00,40.810726,-73.92465,Bronx,10454.0,1,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
0101000020E610000087DC0C37E07952C04F22C2BF08684440,3492719,4700197,,563       PROSPECT AVENUE,2024-02-04 20:10:00+00,40.812767,-73.90431,Bronx,10455.0,1,0,0,0,0,0,0,0,0,"Turning Improperly,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E61000000D8E9257E77A52C034F44F70B16A4440,3492945,4700279,WALTON AVENUE,,2024-02-03 19:10:00+00,40.83354,-73.92037,Bronx,10452.0,1,0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper,Unspecified",Sedan
0101000020E6100000083D9B559F7B52C06E1805C1E3674440,3493008,4700823,MAJOR DEEGAN EXPRESSWAY,,2024-02-03 22:00:00+00,40.811638,-73.9316,Bronx,,1,0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper,Unspecified","PICK-UP TR,Sedan"
0101000020E6100000FB22A12DE77652C0E5D022DBF9724440,3493134,4700124,EAST 237 STREET,,2024-02-02 07:20:00+00,40.89825,-73.85786,Bronx,,1,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction,Unspecified","Sedan,Sedan"
0101000020E6100000BE30992A187752C0AD86C43D96724440,3492824,4700097,,4220      BRONX BOULEVARD,2024-02-04 02:00:00+00,40.89521,-73.86085,Bronx,10466.0,1,0,0,0,0,0,0,0,0,,
0101000020E61000000FD1E80E627752C031CEDF8442704440,3493177,4700444,,712       EAST GUN HILL ROAD,2024-02-02 15:47:00+00,40.87703,-73.86536,Bronx,10467.0,1,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction,Cell Phone (hand-Held)","Sedan,Pick-up Truck"
0101000020E610000096B20C71AC7752C0014EEFE2FD6A4440,3492795,4700286,CROSS BRONX EXPY,,2024-02-04 13:44:00+00,40.835873,-73.8699,Bronx,,1,0,0,0,0,0,0,0,0,"Unspecified,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E6100000ADDD76A1B97952C0DFE00B93A96E4440,3492986,4700168,GRAND AVENUE,,2024-02-03 15:00:00+00,40.86455,-73.901955,Bronx,,1,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
0101000020E6100000499D8026C27852C07F6C921FF16B4440,3493225,4700631,MARMION AVENUE,,2024-01-26 18:30:00+00,40.843296,-73.88685,Bronx,10460.0,1,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E6100000B610E4A0847A52C01C08C902266E4440,3492807,4700158,MAJOR DEEGAN EXPRESSWAY,,2024-02-04 08:00:00+00,40.860535,-73.914345,Bronx,,1,0,0,0,0,0,0,0,0,"Pavement Slippery,Unspecified","Sedan,Taxi"
0101000020E6100000FA449E245D7952C0C45BE7DF2E6D4440,3493168,4700545,,4410      PARK AVENUE,2024-02-02 17:00:00+00,40.852993,-73.89631,Bronx,10457.0,1,0,0,0,0,0,0,0,0,"Turning Improperly,Unspecified","Station Wagon/Sport Utility Vehicle,Bus"
0101000020E6100000A27F828B157952C0FF4124438E694440,3493223,4700632,SOUTHERN BOULEVARD,,2024-01-26 16:15:00+00,40.824654,-73.89194,Bronx,10459.0,1,0,0,0,0,0,0,0,0,"Unspecified,Unspecified","Sedan,Bus"
